stim_duration,category
1655.0,non-self-control
2399.0,non-self-control
1879.0,non-self-control
1318.0,non-self-control
1783.0,non-self-control
1113.0,non-self-control
1696.0,non-self-control
2368.0,non-self-control
2140.0,non-self-control
842.0,non-self-control
897.0,non-self-control
1301.0,non-self-control
1605.0,non-self-control
1566.0,non-self-control
1134.0,non-self-control
1386.0,non-self-control
1913.0,non-self-control
1364.0,non-self-control
1462.0,non-self-control
1947.0,non-self-control
1305.0,non-self-control
2942.0,non-self-control
1227.0,non-self-control
860.0,non-self-control
2978.0,non-self-control
1607.0,non-self-control
1954.0,non-self-control
1563.0,self-control
1513.0,self-control
2153.0,self-control
1703.0,self-control
1499.0,self-control
1691.0,self-control
3466.0,self-control
2171.0,self-control
1060.0,self-control
1556.0,self-control
1914.0,self-control
4000.0,self-control
2758.0,self-control
1347.0,self-control
1497.0,self-control
2910.0,self-control
1186.0,self-control
2142.0,self-control
825.0,self-control
