self_controlled,non_self_controlled
2244.0,2156.0
1658.0,1640.0
1958.0,1437.0
3205.0,2059.0
1958.0,1209.0
3529.0,1051.0
2619.0,598.0
1978.0,1825.0
1441.0,2079.0
2274.0,1487.0
1813.0,2258.0
1300.0,1839.0
1583.0,1395.0
2621.0,1758.0
2354.0,2038.0
1775.0,1042.0
2378.0,1092.0
1907.0,2087.0
1592.0,2014.0
929.0,1630.0
1601.0,1177.0
1448.0,1827.0
1349.0,1196.0
1925.0,1043.0
2539.0,1439.0
2173.0,1543.0
1390.0,1783.0
1465.0,1436.0
1613.0,1869.0
3740.0,2103.0
426.0,1053.0
658.0,1620.0
2050.0,1397.0
1521.0,1574.0
792.0,1373.0
1016.0,1336.0
1479.0,2248.0
663.0,1886.0
601.0,1572.0
446.0,2535.0
328.0,1468.0
448.0,1450.0
313.0,3193.0
866.0,4000.0
334.0,2002.0
327.0,1365.0
300.0,3475.0
2245.0,2029.0
1194.0,1252.0
788.0,1446.0
,1107.0
,1296.0
,1137.0
,723.0
,1149.0
,1971.0
,2634.0
,2477.0
