text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,full_screen,focus_shifts,view_history,mouse_click,stim_duration,exp_stage,stim,coded_response,trial_num,reference,stim_rating,reference_rating,responses,credit_var
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>",2713.0,13.0,2713.0,0.0,instruction,poldrack-text,0,2715,0.0-0.0-0.0,dietary_decision,True,3,,,,,,,,,,,,
,11534.0,,,,instruction,poldrack-instructions,1,14250,0.0-0.0-1.0,dietary_decision,True,0,"[{""page_index"":0,""viewing_time"":11534}]",,,,,,,,,,,
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the healthiness of each food item without regard for its taste. Press <strong>enter</strong> to begin.</p></div>",4400.0,13.0,4400.0,500.0,start_health,poldrack-text,2,19661,0.0-1.0,dietary_decision,True,0,,,,,,,,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,3,24178,0.0-2.0,dietary_decision,True,0,,-1,4000.0,health_rating,RiceKrispyTreat,,0.0,,,,,
,2144.0,,2144.0,500.0,stim,single-stim-button,4,26832,0.0-3.0,dietary_decision,True,0,,Neutral,2144.0,health_rating,KitKat,0.0,1.0,,,,,
,1988.0,,1988.0,500.0,stim,single-stim-button,5,29323,0.0-4.0,dietary_decision,True,0,,Neutral,1988.0,health_rating,slimfastC,0.0,2.0,,,,,
,1988.0,,1988.0,500.0,stim,single-stim-button,6,31821,0.0-5.0,dietary_decision,True,0,,Neutral,1988.0,health_rating,slimfastV,0.0,3.0,,,,,
,2280.0,,2280.0,500.0,stim,single-stim-button,7,34610,0.0-6.0,dietary_decision,True,0,,Healthy,2280.0,health_rating,wheatcrisps,1.0,4.0,,,,,
,3048.0,,3048.0,500.0,stim,single-stim-button,8,38169,0.0-7.0,dietary_decision,True,0,,Healthy,3048.0,health_rating,cellery,1.0,5.0,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,9,42686,0.0-8.0,dietary_decision,True,0,,-1,4000.0,health_rating,brocollincauliflower,,6.0,,,,,
,2484.0,,2484.0,500.0,stim,single-stim-button,10,45671,0.0-9.0,dietary_decision,True,0,,Healthy,2484.0,health_rating,FamousAmos,1.0,7.0,,,,,
,2251.0,,2251.0,500.0,stim,single-stim-button,11,48431,0.0-10.0,dietary_decision,True,0,,Very_Healthy,2251.0,health_rating,redgrapes,2.0,8.0,,,,,
,3793.0,,3793.0,500.0,stim,single-stim-button,12,52730,0.0-11.0,dietary_decision,True,0,,Healthy,3793.0,health_rating,carrots,1.0,9.0,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,13,57235,0.0-12.0,dietary_decision,True,0,,-1,4000.0,health_rating,butterfinger,,10.0,,,,,
,2095.0,,2095.0,500.0,stim,single-stim-button,14,59838,0.0-13.0,dietary_decision,True,0,,Neutral,2095.0,health_rating,cookiencream,0.0,11.0,,,,,
,1486.0,,1486.0,500.0,stim,single-stim-button,15,61829,0.0-14.0,dietary_decision,True,0,,Neutral,1486.0,health_rating,Lindt,0.0,12.0,,,,,
,1426.0,,1426.0,500.0,stim,single-stim-button,16,63757,0.0-15.0,dietary_decision,True,0,,Healthy,1426.0,health_rating,strawberries,1.0,13.0,,,,,
,1959.0,,1959.0,500.0,stim,single-stim-button,17,66228,0.0-16.0,dietary_decision,True,0,,Neutral,1959.0,health_rating,sbcrackers,0.0,14.0,,,,,
,3172.0,,3172.0,500.0,stim,single-stim-button,18,69902,0.0-17.0,dietary_decision,True,0,,Very_Healthy,3172.0,health_rating,banana,2.0,15.0,,,,,
,2282.0,,2282.0,500.0,stim,single-stim-button,19,72696,0.0-18.0,dietary_decision,True,0,,Neutral,2282.0,health_rating,icecreamsandwich,0.0,16.0,,,,,
,2402.0,,2402.0,500.0,stim,single-stim-button,20,75610,0.0-19.0,dietary_decision,True,0,,Very_Healthy,2402.0,health_rating,orange,2.0,17.0,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,21,80129,0.0-20.0,dietary_decision,True,0,,-1,4000.0,health_rating,cherryicecream,,18.0,,,,,
,2270.0,,2270.0,500.0,stim,single-stim-button,22,82900,0.0-21.0,dietary_decision,True,0,,Unhealthy,2270.0,health_rating,Reeses,-1.0,19.0,,,,,
,2472.0,,2472.0,500.0,stim,single-stim-button,23,85875,0.0-22.0,dietary_decision,True,0,,Neutral,2472.0,health_rating,ffraspsorbet,0.0,20.0,,,,,
,1246.0,,1246.0,500.0,stim,single-stim-button,24,87622,0.0-23.0,dietary_decision,True,0,,Very_Healthy,1246.0,health_rating,reddelicious,2.0,21.0,,,,,
,1684.0,,1684.0,500.0,stim,single-stim-button,25,89809,0.0-24.0,dietary_decision,True,0,,Unhealthy,1684.0,health_rating,laysclassic,-1.0,22.0,,,,,
,2432.0,,2432.0,500.0,stim,single-stim-button,26,92744,0.0-25.0,dietary_decision,True,0,,Neutral,2432.0,health_rating,strussel,0.0,23.0,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,27,97248,0.0-26.0,dietary_decision,True,0,,-1,4000.0,health_rating,cranberries,,24.0,,,,,
,1705.0,,1705.0,500.0,stim,single-stim-button,28,99464,0.0-27.0,dietary_decision,True,0,,Unhealthy,1705.0,health_rating,Oreos,-1.0,25.0,,,,,
,1267.0,,1267.0,500.0,stim,single-stim-button,29,101245,0.0-28.0,dietary_decision,True,0,,Very_Healthy,1267.0,health_rating,grannysmith,2.0,26.0,,,,,
