text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,full_screen,focus_shifts,view_history,mouse_click,stim_duration,exp_stage,stim,coded_response,trial_num,reference,stim_rating,reference_rating,responses,credit_var
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>",3491.0,13.0,3491.0,0.0,instruction,poldrack-text,0,3493,0.0-0.0-0.0,dietary_decision,True,0,,,,,,,,,,,,
,8266.0,,,,instruction,poldrack-instructions,1,11760,0.0-0.0-1.0,dietary_decision,True,0,"[{""page_index"":0,""viewing_time"":8266}]",,,,,,,,,,,
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the healthiness of each food item without regard for its taste. Press <strong>enter</strong> to begin.</p></div>",3186.0,13.0,3186.0,500.0,start_health,poldrack-text,2,15961,0.0-1.0,dietary_decision,True,0,,,,,,,,,,,,
,3391.0,,3391.0,500.0,stim,single-stim-button,3,19860,0.0-2.0,dietary_decision,True,0,,Healthy,3391.0,health_rating,banana,1.0,0.0,,,,,
,1643.0,,1643.0,500.0,stim,single-stim-button,4,22018,0.0-3.0,dietary_decision,True,0,,Very_Unhealthy,1643.0,health_rating,butterfinger,-2.0,1.0,,,,,
,972.0,,972.0,500.0,stim,single-stim-button,5,23507,0.0-4.0,dietary_decision,True,0,,Very_Unhealthy,972.0,health_rating,Ghiradelli,-2.0,2.0,,,,,
,711.0,,711.0,500.0,stim,single-stim-button,6,24731,0.0-5.0,dietary_decision,True,0,,Very_Unhealthy,711.0,health_rating,MrsFields,-2.0,3.0,,,,,
,839.0,,839.0,500.0,stim,single-stim-button,7,26082,0.0-6.0,dietary_decision,True,0,,Very_Unhealthy,839.0,health_rating,100Grand,-2.0,4.0,,,,,
,1346.0,,1346.0,500.0,stim,single-stim-button,8,27936,0.0-7.0,dietary_decision,True,0,,Unhealthy,1346.0,health_rating,wheatcrisps,-1.0,5.0,,,,,
,1622.0,,1622.0,500.0,stim,single-stim-button,9,30075,0.0-8.0,dietary_decision,True,0,,Unhealthy,1622.0,health_rating,FamousAmos,-1.0,6.0,,,,,
,1794.0,,1794.0,500.0,stim,single-stim-button,10,32380,0.0-9.0,dietary_decision,True,0,,Very_Healthy,1794.0,health_rating,redgrapes,2.0,7.0,,,,,
,2634.0,,2634.0,500.0,stim,single-stim-button,11,35526,0.0-10.0,dietary_decision,True,0,,Neutral,2634.0,health_rating,RiceKrispyTreat,0.0,8.0,,,,,
,1277.0,,1277.0,500.0,stim,single-stim-button,12,37316,0.0-11.0,dietary_decision,True,0,,Healthy,1277.0,health_rating,blueberryyogart,1.0,9.0,,,,,
,1481.0,,1481.0,500.0,stim,single-stim-button,13,39306,0.0-12.0,dietary_decision,True,0,,Healthy,1481.0,health_rating,ffraspsorbet,1.0,10.0,,,,,
,1401.0,,1401.0,500.0,stim,single-stim-button,14,41214,0.0-13.0,dietary_decision,True,0,,Healthy,1401.0,health_rating,carrots,1.0,11.0,,,,,
,1599.0,,1599.0,500.0,stim,single-stim-button,15,43316,0.0-14.0,dietary_decision,True,0,,Unhealthy,1599.0,health_rating,uToberlorone,-1.0,12.0,,,,,
,2503.0,,2503.0,500.0,stim,single-stim-button,16,46322,0.0-15.0,dietary_decision,True,0,,Healthy,2503.0,health_rating,mixedyogart,1.0,13.0,,,,,
,1999.0,,1999.0,500.0,stim,single-stim-button,17,48835,0.0-16.0,dietary_decision,True,0,,Neutral,1999.0,health_rating,icecreamsandwich,0.0,14.0,,,,,
,1340.0,,1340.0,500.0,stim,single-stim-button,18,50680,0.0-17.0,dietary_decision,True,0,,Healthy,1340.0,health_rating,brocollincauliflower,1.0,15.0,,,,,
,823.0,,823.0,500.0,stim,single-stim-button,19,52013,0.0-18.0,dietary_decision,True,0,,Healthy,823.0,health_rating,frozenyogart,1.0,16.0,,,,,
,784.0,,784.0,500.0,stim,single-stim-button,20,53298,0.0-19.0,dietary_decision,True,0,,Healthy,784.0,health_rating,cookiencream,1.0,17.0,,,,,
,982.0,,982.0,500.0,stim,single-stim-button,21,54786,0.0-20.0,dietary_decision,True,0,,Healthy,982.0,health_rating,orangejello,1.0,18.0,,,,,
,652.0,,652.0,500.0,stim,single-stim-button,22,55952,0.0-21.0,dietary_decision,True,0,,Neutral,652.0,health_rating,strussel,0.0,19.0,,,,,
,560.0,,560.0,500.0,stim,single-stim-button,23,57026,0.0-22.0,dietary_decision,True,0,,Healthy,560.0,health_rating,Reeses,1.0,20.0,,,,,
,2292.0,,2292.0,500.0,stim,single-stim-button,24,59822,0.0-23.0,dietary_decision,True,0,,Unhealthy,2292.0,health_rating,Lindt,-1.0,21.0,,,,,
,746.0,,746.0,500.0,stim,single-stim-button,25,61077,0.0-24.0,dietary_decision,True,0,,Unhealthy,746.0,health_rating,wwbrownie,-1.0,22.0,,,,,
,575.0,,575.0,500.0,stim,single-stim-button,26,62163,0.0-25.0,dietary_decision,True,0,,Neutral,575.0,health_rating,Oreos,0.0,23.0,,,,,
,500.0,,500.0,500.0,stim,single-stim-button,27,63175,0.0-26.0,dietary_decision,True,0,,Healthy,500.0,health_rating,keeblerfudgestripes,1.0,24.0,,,,,
,427.0,,427.0,500.0,stim,single-stim-button,28,64112,0.0-27.0,dietary_decision,True,0,,Healthy,427.0,health_rating,wwmuffin,1.0,25.0,,,,,
,418.0,,418.0,500.0,stim,single-stim-button,29,65048,0.0-28.0,dietary_decision,True,0,,Unhealthy,418.0,health_rating,grannysmith,-1.0,26.0,,,,,
,469.0,,469.0,500.0,stim,single-stim-button,30,66033,0.0-29.0,dietary_decision,True,0,,Healthy,469.0,health_rating,orange,1.0,27.0,,,,,
,376.0,,376.0,500.0,stim,single-stim-button,31,66914,0.0-30.0,dietary_decision,True,0,,Healthy,376.0,health_rating,cookies,1.0,28.0,,,,,
,317.0,,317.0,500.0,stim,single-stim-button,32,67734,0.0-31.0,dietary_decision,True,0,,Neutral,317.0,health_rating,slimfastV,0.0,29.0,,,,,
,505.0,,505.0,500.0,stim,single-stim-button,33,68751,0.0-32.0,dietary_decision,True,0,,Healthy,505.0,health_rating,ruffles,1.0,30.0,,,,,
,1672.0,,1672.0,500.0,stim,single-stim-button,34,70932,0.0-33.0,dietary_decision,True,0,,Healthy,1672.0,health_rating,cranberries,1.0,31.0,,,,,
,682.0,,682.0,500.0,stim,single-stim-button,35,72116,0.0-34.0,dietary_decision,True,0,,Healthy,682.0,health_rating,HoHo,1.0,32.0,,,,,
,549.0,,549.0,500.0,stim,single-stim-button,36,73168,0.0-35.0,dietary_decision,True,0,,Healthy,549.0,health_rating,strawberries,1.0,33.0,,,,,
,2048.0,,2048.0,500.0,stim,single-stim-button,37,75720,0.0-36.0,dietary_decision,True,0,,Unhealthy,2048.0,health_rating,KitKat,-1.0,34.0,,,,,
,1659.0,,1659.0,500.0,stim,single-stim-button,38,77881,0.0-37.0,dietary_decision,True,0,,Unhealthy,1659.0,health_rating,laysclassic,-1.0,35.0,,,,,
,1812.0,,1812.0,500.0,stim,single-stim-button,39,80207,0.0-38.0,dietary_decision,True,0,,Healthy,1812.0,health_rating,cellery,1.0,36.0,,,,,
,2477.0,,2477.0,500.0,stim,single-stim-button,40,83199,0.0-39.0,dietary_decision,True,0,,Unhealthy,2477.0,health_rating,Doritosranch,-1.0,37.0,,,,,
,1901.0,,1901.0,500.0,stim,single-stim-button,41,85615,0.0-40.0,dietary_decision,True,0,,Unhealthy,1901.0,health_rating,uTwix,-1.0,38.0,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,42,90125,0.0-41.0,dietary_decision,True,0,,-1,4000.0,health_rating,keeblerrainbow,,39.0,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,43,94636,0.0-42.0,dietary_decision,True,0,,-1,4000.0,health_rating,sbdietbar,,40.0,,,,,
,2665.0,,2665.0,500.0,stim,single-stim-button,44,97802,0.0-43.0,dietary_decision,True,0,,Healthy,2665.0,health_rating,reddelicious,1.0,41.0,,,,,
,2086.0,,2086.0,500.0,stim,single-stim-button,45,100398,0.0-44.0,dietary_decision,True,0,,Healthy,2086.0,health_rating,sbcrackers,1.0,42.0,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,46,104911,0.0-45.0,dietary_decision,True,0,,-1,4000.0,health_rating,ChipsAhoy,,43.0,,,,,
,2373.0,,2373.0,500.0,stim,single-stim-button,47,107797,0.0-46.0,dietary_decision,True,0,,Neutral,2373.0,health_rating,raisins,0.0,44.0,,,,,
