text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,full_screen,focus_shifts,view_history,mouse_click,stim_duration,exp_stage,stim,coded_response,trial_num,reference,stim_rating,reference_rating,responses,credit_var
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>",3030.0,13.0,3030.0,0.0,instruction,poldrack-text,0,3031,0.0-0.0-0.0,dietary_decision,True,0,,,,,,,,,,,,
,3695.0,,,,instruction,poldrack-instructions,1,6728,0.0-0.0-1.0,dietary_decision,True,0,"[{""page_index"":0,""viewing_time"":3695}]",,,,,,,,,,,
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the tastiness of each food item without regard for its healthiness. Press <strong>enter</strong> to begin.</p></div>",6011.0,13.0,6011.0,500.0,start_taste,poldrack-text,2,13745,0.0-1.0,dietary_decision,True,0,,,,,,,,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,3,18256,0.0-2.0,dietary_decision,True,0,,-1,4000.0,taste_rating,cookiencream,,0.0,,,,,
,2629.0,,2629.0,500.0,stim,single-stim-button,4,21398,0.0-3.0,dietary_decision,True,0,,Neutral,2629.0,taste_rating,strussel,0.0,1.0,,,,,
,2181.0,,2181.0,500.0,stim,single-stim-button,5,24083,0.0-4.0,dietary_decision,True,0,,Good,2181.0,taste_rating,slimfastV,1.0,2.0,,,,,
,2536.0,,2536.0,500.0,stim,single-stim-button,6,27132,0.0-5.0,dietary_decision,True,0,,Very_Good,2536.0,taste_rating,ruffles,2.0,3.0,,,,,
,1851.0,,1851.0,500.0,stim,single-stim-button,7,29500,0.0-6.0,dietary_decision,True,0,,Good,1851.0,taste_rating,keeblerrainbow,1.0,4.0,,,,,
,2127.0,,2127.0,500.0,stim,single-stim-button,8,32128,0.0-7.0,dietary_decision,True,0,,Good,2127.0,taste_rating,whitegrapes,1.0,5.0,,,,,
,2012.0,,2012.0,500.0,stim,single-stim-button,9,34649,0.0-8.0,dietary_decision,True,0,,Very_Good,2012.0,taste_rating,ffraspsorbet,2.0,6.0,,,,,
,2605.0,,2605.0,500.0,stim,single-stim-button,10,37755,0.0-9.0,dietary_decision,True,0,,Bad,2605.0,taste_rating,mixedyogart,-1.0,7.0,,,,,
,2209.0,,2209.0,500.0,stim,single-stim-button,11,40466,0.0-10.0,dietary_decision,True,0,,Very_Good,2209.0,taste_rating,orangejello,2.0,8.0,,,,,
,1788.0,,1788.0,500.0,stim,single-stim-button,12,42755,0.0-11.0,dietary_decision,True,0,,Good,1788.0,taste_rating,reddelicious,1.0,9.0,,,,,
,3130.0,,3130.0,500.0,stim,single-stim-button,13,46386,0.0-12.0,dietary_decision,True,0,,Good,3130.0,taste_rating,slimfastC,1.0,10.0,,,,,
,2496.0,,2496.0,500.0,stim,single-stim-button,14,49392,0.0-13.0,dietary_decision,True,0,,Bad,2496.0,taste_rating,RiceKrispyTreat,-1.0,11.0,,,,,
,1676.0,,1676.0,500.0,stim,single-stim-button,15,51570,0.0-14.0,dietary_decision,True,0,,Neutral,1676.0,taste_rating,FamousAmos,0.0,12.0,,,,,
,1867.0,,1867.0,500.0,stim,single-stim-button,16,53937,0.0-15.0,dietary_decision,True,0,,Good,1867.0,taste_rating,cellery,1.0,13.0,,,,,
,1507.0,,1507.0,500.0,stim,single-stim-button,17,55945,0.0-16.0,dietary_decision,True,0,,Good,1507.0,taste_rating,orange,1.0,14.0,,,,,
,1757.0,,1757.0,500.0,stim,single-stim-button,18,58202,0.0-17.0,dietary_decision,True,0,,Very_Good,1757.0,taste_rating,Oreos,2.0,15.0,,,,,
,1538.0,,1538.0,500.0,stim,single-stim-button,19,60241,0.0-18.0,dietary_decision,True,0,,Very_Good,1538.0,taste_rating,uToberlorone,2.0,16.0,,,,,
,1565.0,,1565.0,500.0,stim,single-stim-button,20,62306,0.0-19.0,dietary_decision,True,0,,Very_Good,1565.0,taste_rating,butterfinger,2.0,17.0,,,,,
,1312.0,,1312.0,500.0,stim,single-stim-button,21,64118,0.0-20.0,dietary_decision,True,0,,Very_Good,1312.0,taste_rating,KitKat,2.0,18.0,,,,,
,1175.0,,1175.0,500.0,stim,single-stim-button,22,65796,0.0-21.0,dietary_decision,True,0,,Very_Good,1175.0,taste_rating,Reeses,2.0,19.0,,,,,
,1949.0,,1949.0,500.0,stim,single-stim-button,23,68245,0.0-22.0,dietary_decision,True,0,,Good,1949.0,taste_rating,banana,1.0,20.0,,,,,
,1176.0,,1176.0,500.0,stim,single-stim-button,24,69922,0.0-23.0,dietary_decision,True,0,,Good,1176.0,taste_rating,100Grand,1.0,21.0,,,,,
,1762.0,,1762.0,500.0,stim,single-stim-button,25,72185,0.0-24.0,dietary_decision,True,0,,Good,1762.0,taste_rating,Doritosranch,1.0,22.0,,,,,
,1484.0,,1484.0,500.0,stim,single-stim-button,26,74171,0.0-25.0,dietary_decision,True,0,,Very_Good,1484.0,taste_rating,grannysmith,2.0,23.0,,,,,
,2110.0,,2110.0,500.0,stim,single-stim-button,27,76781,0.0-26.0,dietary_decision,True,0,,Good,2110.0,taste_rating,wwmuffin,1.0,24.0,,,,,
,1217.0,,1217.0,500.0,stim,single-stim-button,28,78498,0.0-27.0,dietary_decision,True,0,,Good,1217.0,taste_rating,Ghiradelli,1.0,25.0,,,,,
,1525.0,,1525.0,500.0,stim,single-stim-button,29,80524,0.0-28.0,dietary_decision,True,0,,Good,1525.0,taste_rating,blueberryyogart,1.0,26.0,,,,,
,1888.0,,1888.0,500.0,stim,single-stim-button,30,82913,0.0-29.0,dietary_decision,True,0,,Good,1888.0,taste_rating,carrots,1.0,27.0,,,,,
,1632.0,,1632.0,500.0,stim,single-stim-button,31,85046,0.0-30.0,dietary_decision,True,0,,Good,1632.0,taste_rating,keeblerfudgestripes,1.0,28.0,,,,,
,2082.0,,2082.0,500.0,stim,single-stim-button,32,87640,0.0-31.0,dietary_decision,True,0,,Good,2082.0,taste_rating,cranberries,1.0,29.0,,,,,
,2013.0,,2013.0,500.0,stim,single-stim-button,33,90154,0.0-32.0,dietary_decision,True,0,,Good,2013.0,taste_rating,cherryicecream,1.0,30.0,,,,,
,2524.0,,2524.0,500.0,stim,single-stim-button,34,93179,0.0-33.0,dietary_decision,True,0,,Good,2524.0,taste_rating,brocollincauliflower,1.0,31.0,,,,,
,1526.0,,1526.0,500.0,stim,single-stim-button,35,95206,0.0-34.0,dietary_decision,True,0,,Good,1526.0,taste_rating,Lindt,1.0,32.0,,,,,
,1560.0,,1560.0,500.0,stim,single-stim-button,36,97267,0.0-35.0,dietary_decision,True,0,,Good,1560.0,taste_rating,specialKbar,1.0,33.0,,,,,
,1634.0,,1634.0,500.0,stim,single-stim-button,37,99402,0.0-36.0,dietary_decision,True,0,,Good,1634.0,taste_rating,wwbrownie,1.0,34.0,,,,,
,2417.0,,2417.0,500.0,stim,single-stim-button,38,102320,0.0-37.0,dietary_decision,True,0,,Good,2417.0,taste_rating,laysclassic,1.0,35.0,,,,,
,1321.0,,1321.0,500.0,stim,single-stim-button,39,104142,0.0-38.0,dietary_decision,True,0,,Good,1321.0,taste_rating,raisins,1.0,36.0,,,,,
,1551.0,,1551.0,500.0,stim,single-stim-button,40,106202,0.0-39.0,dietary_decision,True,0,,Good,1551.0,taste_rating,sbcrackers,1.0,37.0,,,,,
,1114.0,,1114.0,500.0,stim,single-stim-button,41,107816,0.0-40.0,dietary_decision,True,0,,Good,1114.0,taste_rating,sbdietbar,1.0,38.0,,,,,
,1206.0,,1206.0,500.0,stim,single-stim-button,42,109524,0.0-41.0,dietary_decision,True,0,,Good,1206.0,taste_rating,FlamingCheetos,1.0,39.0,,,,,
