text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,full_screen,focus_shifts,view_history,mouse_click,stim_duration,exp_stage,stim,coded_response,trial_num,reference,stim_rating,reference_rating,responses,credit_var
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>",3671,13,3671,0,instruction,poldrack-text,0,3672,0.0-0.0-0.0,dietary_decision,TRUE,0,,,,,,,,,,,,
,13563,,,,instruction,poldrack-instructions,1,17235,0.0-0.0-1.0,dietary_decision,TRUE,0,"[{""page_index"":0,""viewing_time"":13563}]",,,,,,,,,,,
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the tastiness of each food item without regard for its healthiness. Press <strong>enter</strong> to begin.</p></div>",5202,13,5202,500,start_taste,poldrack-text,2,23450,0.0-1.0,dietary_decision,TRUE,0,,,,,,,,,,,,
,-1,,4000,500,stim,single-stim-button,3,27965,0.0-2.0,dietary_decision,TRUE,0,,-1,4000,taste_rating,orangejello,NaN,0,,,,,
,2384,,2384,500,stim,single-stim-button,4,30862,0.0-3.0,dietary_decision,TRUE,0,,Good,2384,taste_rating,ChipsAhoy,1,1,,,,,
,2798,,2798,500,stim,single-stim-button,5,34172,0.0-4.0,dietary_decision,TRUE,0,,Bad,2798,taste_rating,laysclassic,-1,2,,,,,
,1537,,1537,500,stim,single-stim-button,6,36210,0.0-5.0,dietary_decision,TRUE,0,,Bad,1537,taste_rating,uToberlorone,-1,3,,,,,
,1144,,1144,500,stim,single-stim-button,7,37866,0.0-6.0,dietary_decision,TRUE,0,,Bad,1144,taste_rating,ruffles,-1,4,,,,,
,2772,,2772,500,stim,single-stim-button,8,41144,0.0-7.0,dietary_decision,TRUE,0,,Neutral,2772,taste_rating,wwmuffin,0,5,,,,,
,1752,,1752,500,stim,single-stim-button,9,43409,0.0-8.0,dietary_decision,TRUE,0,,Neutral,1752,taste_rating,sbcrackers,0,6,,,,,
,1399,,1399,500,stim,single-stim-button,10,45319,0.0-9.0,dietary_decision,TRUE,0,,Good,1399,taste_rating,Oreos,1,7,,,,,
,2804,,2804,500,stim,single-stim-button,11,48623,0.0-10.0,dietary_decision,TRUE,0,,Very_Good,2804,taste_rating,KitKat,2,8,,,,,
,3107,,3107,500,stim,single-stim-button,12,52238,0.0-11.0,dietary_decision,TRUE,0,,Neutral,3107,taste_rating,wheatcrisps,0,9,,,,,
,1562,,1562,500,stim,single-stim-button,13,54307,0.0-12.0,dietary_decision,TRUE,0,,Good,1562,taste_rating,reddelicious,1,10,,,,,
,2115,,2115,500,stim,single-stim-button,14,56924,0.0-13.0,dietary_decision,TRUE,0,,Good,2115,taste_rating,cranberries,1,11,,,,,
,1617,,1617,500,stim,single-stim-button,15,59042,0.0-14.0,dietary_decision,TRUE,0,,Bad,1617,taste_rating,strussel,-1,12,,,,,
,2607,,2607,500,stim,single-stim-button,16,62154,0.0-15.0,dietary_decision,TRUE,0,,Good,2607,taste_rating,keeblerrainbow,1,13,,,,,
,1537,,1537,500,stim,single-stim-button,17,64200,0.0-16.0,dietary_decision,TRUE,0,,Neutral,1537,taste_rating,MrsFields,0,14,,,,,
,2204,,2204,500,stim,single-stim-button,18,66920,0.0-17.0,dietary_decision,TRUE,0,,Neutral,2204,taste_rating,Doritosranch,0,15,,,,,
,1826,,1826,500,stim,single-stim-button,19,69255,0.0-18.0,dietary_decision,TRUE,0,,Bad,1826,taste_rating,Reeses,-1,16,,,,,
,2907,,2907,500,stim,single-stim-button,20,72669,0.0-19.0,dietary_decision,TRUE,0,,Neutral,2907,taste_rating,Ghiradelli,0,17,,,,,
,1203,,1203,500,stim,single-stim-button,21,74381,0.0-20.0,dietary_decision,TRUE,0,,Neutral,1203,taste_rating,100Grand,0,18,,,,,
,2465,,2465,500,stim,single-stim-button,22,77347,0.0-21.0,dietary_decision,TRUE,0,,Good,2465,taste_rating,banana,1,19,,,,,
,-1,,4000,500,stim,single-stim-button,23,81860,0.0-22.0,dietary_decision,TRUE,0,,-1,4000,taste_rating,FlamingCheetos,NaN,20,,,,,
,2016,,2016,500,stim,single-stim-button,24,84386,0.0-23.0,dietary_decision,TRUE,0,,Neutral,2016,taste_rating,grannysmith,0,21,,,,,
,820,,820,500,stim,single-stim-button,25,85712,0.0-24.0,dietary_decision,TRUE,0,,Neutral,820,taste_rating,strawberries,0,22,,,,,
,-1,,4000,500,stim,single-stim-button,26,90240,0.0-25.0,dietary_decision,TRUE,0,,-1,4000,taste_rating,brocollincauliflower,NaN,23,,,,,
,2186,,2186,500,stim,single-stim-button,27,92926,0.0-26.0,dietary_decision,TRUE,0,,Neutral,2186,taste_rating,ffraspsorbet,0,24,,,,,
,1993,,1993,500,stim,single-stim-button,28,95428,0.0-27.0,dietary_decision,TRUE,0,,Good,1993,taste_rating,cookies,1,25,,,,,
,2263,,2263,500,stim,single-stim-button,29,98196,0.0-28.0,dietary_decision,TRUE,0,,Good,2263,taste_rating,HoHo,1,26,,,,,
,2576,,2576,500,stim,single-stim-button,30,101282,0.0-29.0,dietary_decision,TRUE,0,,Neutral,2576,taste_rating,carrots,0,27,,,,,
,1720,,1720,500,stim,single-stim-button,31,103504,0.0-30.0,dietary_decision,TRUE,0,,Bad,1720,taste_rating,keeblerfudgestripes,-1,28,,,,,
,1281,,1281,500,stim,single-stim-button,32,105296,0.0-31.0,dietary_decision,TRUE,0,,Bad,1281,taste_rating,sbdietbar,-1,29,,,,,
,1888,,1888,500,stim,single-stim-button,33,107688,0.0-32.0,dietary_decision,TRUE,0,,Neutral,1888,taste_rating,butterfinger,0,30,,,,,
,3160,,3160,500,stim,single-stim-button,34,111359,0.0-33.0,dietary_decision,TRUE,0,,Bad,3160,taste_rating,specialKbar,-1,31,,,,,
,2367,,2367,500,stim,single-stim-button,35,114229,0.0-34.0,dietary_decision,TRUE,0,,Neutral,2367,taste_rating,orange,0,32,,,,,
,2377,,2377,500,stim,single-stim-button,36,117108,0.0-35.0,dietary_decision,TRUE,0,,Very_Bad,2377,taste_rating,cellery,-2,33,,,,,
,3207,,3207,500,stim,single-stim-button,37,120827,0.0-36.0,dietary_decision,TRUE,0,,Bad,3207,taste_rating,frozenyogart,-1,34,,,,,
,2412,,2412,500,stim,single-stim-button,38,123753,0.0-37.0,dietary_decision,TRUE,0,,Bad,2412,taste_rating,slimfastC,-1,35,,,,,
,2622,,2622,500,stim,single-stim-button,39,126879,0.0-38.0,dietary_decision,TRUE,0,,Neutral,2622,taste_rating,raisins,0,36,,,,,
,1472,,1472,500,stim,single-stim-button,40,128864,0.0-39.0,dietary_decision,TRUE,0,,Good,1472,taste_rating,uTwix,1,37,,,,,
,2204,,2204,500,stim,single-stim-button,41,131574,0.0-40.0,dietary_decision,TRUE,0,,Good,2204,taste_rating,Lindt,1,38,,,,,
,1315,,1315,500,stim,single-stim-button,42,133390,0.0-41.0,dietary_decision,TRUE,0,,Neutral,1315,taste_rating,blueberryyogart,0,39,,,,,
,1302,,1302,500,stim,single-stim-button,43,135198,0.0-42.0,dietary_decision,TRUE,0,,Neutral,1302,taste_rating,slimfastV,0,40,,,,,
,3896,,3896,500,stim,single-stim-button,44,139604,0.0-43.0,dietary_decision,TRUE,0,,Very_Good,3896,taste_rating,cookiencream,2,41,,,,,
,1873,,1873,500,stim,single-stim-button,45,141979,0.0-44.0,dietary_decision,TRUE,0,,Very_Good,1873,taste_rating,cherryicecream,2,42,,,,,
,2979,,2979,500,stim,single-stim-button,46,145465,0.0-45.0,dietary_decision,TRUE,0,,Good,2979,taste_rating,icecreamsandwich,1,43,,,,,
,1696,,1696,500,stim,single-stim-button,47,147665,0.0-46.0,dietary_decision,TRUE,0,,Very_Good,1696,taste_rating,whitegrapes,2,44,,,,,
,2048,,2048,500,stim,single-stim-button,48,150215,0.0-47.0,dietary_decision,TRUE,0,,Neutral,2048,taste_rating,RiceKrispyTreat,0,45,,,,,
,1267,,1267,500,stim,single-stim-button,49,151983,0.0-48.0,dietary_decision,TRUE,0,,Neutral,1267,taste_rating,mixedyogart,0,46,,,,,
,1531,,1531,500,stim,single-stim-button,50,154021,0.0-49.0,dietary_decision,TRUE,0,,Neutral,1531,taste_rating,wwbrownie,0,47,,,,,
,1579,,1579,500,stim,single-stim-button,51,156109,0.0-50.0,dietary_decision,TRUE,0,,Good,1579,taste_rating,redgrapes,1,48,,,,,
,1374,,1374,500,stim,single-stim-button,52,157996,0.0-51.0,dietary_decision,TRUE,0,,Good,1374,taste_rating,FamousAmos,1,49,,,,,
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the healthiness of each food item without regard for its taste. Press <strong>enter</strong> to begin.</p></div>",5837,13,5837,500,start_health,poldrack-text,53,164341,0.0-52.0,dietary_decision,TRUE,0,,,,,,,,,,,,
,2235,,2235,500,stim,single-stim-button,54,167091,0.0-53.0,dietary_decision,TRUE,0,,Unhealthy,2235,health_rating,Reeses,-1,0,,,,,
,854,,854,500,stim,single-stim-button,55,168459,0.0-54.0,dietary_decision,TRUE,0,,Unhealthy,854,health_rating,butterfinger,-1,1,,,,,
,1387,,1387,500,stim,single-stim-button,56,170355,0.0-55.0,dietary_decision,TRUE,0,,Neutral,1387,health_rating,sbcrackers,0,2,,,,,
,1777,,1777,500,stim,single-stim-button,57,172633,0.0-56.0,dietary_decision,TRUE,0,,Healthy,1777,health_rating,frozenyogart,1,3,,,,,
,1587,,1587,500,stim,single-stim-button,58,174721,0.0-57.0,dietary_decision,TRUE,0,,Unhealthy,1587,health_rating,FlamingCheetos,-1,4,,,,,
,1405,,1405,500,stim,single-stim-button,59,176640,0.0-58.0,dietary_decision,TRUE,0,,Healthy,1405,health_rating,orange,1,5,,,,,
,1975,,1975,500,stim,single-stim-button,60,179119,0.0-59.0,dietary_decision,TRUE,0,,Unhealthy,1975,health_rating,icecreamsandwich,-1,6,,,,,
,1344,,1344,500,stim,single-stim-button,61,180974,0.0-60.0,dietary_decision,TRUE,0,,Healthy,1344,health_rating,redgrapes,1,7,,,,,
,2179,,2179,500,stim,single-stim-button,62,183654,0.0-61.0,dietary_decision,TRUE,0,,Neutral,2179,health_rating,cellery,0,8,,,,,
,2072,,2072,500,stim,single-stim-button,63,186235,0.0-62.0,dietary_decision,TRUE,0,,Neutral,2072,health_rating,ffraspsorbet,0,9,,,,,
