"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","5823","13","5823","0","instruction","poldrack-text","0","5823","0.0-0.0-0.0","dietary_decision","true","0","","","","","","","","","","","",""
"","21767","","","","instruction","poldrack-instructions","1","27591","0.0-0.0-1.0","dietary_decision","true","0","[{""page_index"":0,""viewing_time"":21767}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the healthiness of each food item without regard for its taste. Press <strong>enter</strong> to begin.</p></div>","8191","13","8191","500","start_health","poldrack-text","2","36783","0.0-1.0","dietary_decision","true","0","","","","","","","","","","","",""
"","-1","","4000","500","stim","single-stim-button","3","41306","0.0-2.0","dietary_decision","true","0","","-1","4000","health_rating","wwmuffin","NaN","0","","","","",""
"","2429","","2429","500","stim","single-stim-button","4","44239","0.0-3.0","dietary_decision","true","0","","Healthy","2429","health_rating","grannysmith","1","1","","","","",""
"","1735","","1735","500","stim","single-stim-button","5","46487","0.0-4.0","dietary_decision","true","0","","Very_Unhealthy","1735","health_rating","laysclassic","-2","2","","","","",""
"","1233","","1233","500","stim","single-stim-button","6","48223","0.0-5.0","dietary_decision","true","0","","Very_Unhealthy","1233","health_rating","keeblerrainbow","-2","3","","","","",""
"","2059","","2059","500","stim","single-stim-button","7","50783","0.0-6.0","dietary_decision","true","0","","Very_Unhealthy","2059","health_rating","wheatcrisps","-2","4","","","","",""
"","3399","","3399","500","stim","single-stim-button","8","54687","0.0-7.0","dietary_decision","true","0","","Neutral","3399","health_rating","cherryicecream","0","5","","","","",""
"","1916","","1916","500","stim","single-stim-button","9","57112","0.0-8.0","dietary_decision","true","0","","Neutral","1916","health_rating","specialKbar","0","6","","","","",""
"","2514","","2514","500","stim","single-stim-button","10","60135","0.0-9.0","dietary_decision","true","0","","Unhealthy","2514","health_rating","cookiencream","-1","7","","","","",""
"","-1","","4000","500","stim","single-stim-button","11","64644","0.0-10.0","dietary_decision","true","0","","-1","4000","health_rating","brocollincauliflower","NaN","8","","","","",""
"","1332","","1332","500","stim","single-stim-button","12","66480","0.0-11.0","dietary_decision","true","0","","Unhealthy","1332","health_rating","strussel","-1","9","","","","",""
"","1072","","1072","500","stim","single-stim-button","13","68064","0.0-12.0","dietary_decision","true","0","","Unhealthy","1072","health_rating","ChipsAhoy","-1","10","","","","",""
"","1378","","1378","500","stim","single-stim-button","14","69951","0.0-13.0","dietary_decision","true","0","","Unhealthy","1378","health_rating","KitKat","-1","11","","","","",""
"","2568","","2568","500","stim","single-stim-button","15","73024","0.0-14.0","dietary_decision","true","0","","Unhealthy","2568","health_rating","cookies","-1","12","","","","",""
"","3243","","3243","500","stim","single-stim-button","16","76768","0.0-15.0","dietary_decision","true","0","","Unhealthy","3243","health_rating","blueberryyogart","-1","13","","","","",""
"","2399","","2399","500","stim","single-stim-button","17","79672","0.0-16.0","dietary_decision","true","0","","Unhealthy","2399","health_rating","Lindt","-1","14","","","","",""
"","1865","","1865","500","stim","single-stim-button","18","82040","0.0-17.0","dietary_decision","true","0","","Neutral","1865","health_rating","RiceKrispyTreat","0","15","","","","",""
"","1194","","1194","500","stim","single-stim-button","19","83736","0.0-18.0","dietary_decision","true","0","","Unhealthy","1194","health_rating","Oreos","-1","16","","","","",""
"","1914","","1914","500","stim","single-stim-button","20","86160","0.0-19.0","dietary_decision","true","0","","Unhealthy","1914","health_rating","sbdietbar","-1","17","","","","",""
"","2312","","2312","500","stim","single-stim-button","21","88976","0.0-20.0","dietary_decision","true","0","","Healthy","2312","health_rating","cellery","1","18","","","","",""
"","2423","","2423","500","stim","single-stim-button","22","91912","0.0-21.0","dietary_decision","true","0","","Healthy","2423","health_rating","strawberries","1","19","","","","",""
"","2897","","2897","500","stim","single-stim-button","23","95320","0.0-22.0","dietary_decision","true","0","","Healthy","2897","health_rating","frozenyogart","1","20","","","","",""
"","3095","","3095","500","stim","single-stim-button","24","98928","0.0-23.0","dietary_decision","true","0","","Unhealthy","3095","health_rating","Reeses","-1","21","","","","",""
"","2200","","2200","500","stim","single-stim-button","25","101640","0.0-24.0","dietary_decision","true","0","","Very_Unhealthy","2200","health_rating","Doritosranch","-2","22","","","","",""
"","3476","","3476","500","stim","single-stim-button","26","105616","0.0-25.0","dietary_decision","true","0","","Unhealthy","3476","health_rating","carrots","-1","23","","","","",""
"","1397","","1397","500","stim","single-stim-button","27","107520","0.0-26.0","dietary_decision","true","0","","Healthy","1397","health_rating","orange","1","24","","","","",""
"","2214","","2214","500","stim","single-stim-button","28","110240","0.0-27.0","dietary_decision","true","0","","Healthy","2214","health_rating","mixedyogart","1","25","","","","",""
"","2914","","2914","500","stim","single-stim-button","29","113656","0.0-28.0","dietary_decision","true","0","","Unhealthy","2914","health_rating","keeblerfudgestripes","-1","26","","","","",""
"","2346","","2346","500","stim","single-stim-button","30","116504","0.0-29.0","dietary_decision","true","0","","Healthy","2346","health_rating","reddelicious","1","27","","","","",""
"","1343","","1343","500","stim","single-stim-button","31","118352","0.0-30.0","dietary_decision","true","0","","Unhealthy","1343","health_rating","uToberlorone","-1","28","","","","",""
"","3218","","3218","500","stim","single-stim-button","32","122072","0.0-31.0","dietary_decision","true","0","","Unhealthy","3218","health_rating","cranberries","-1","29","","","","",""
"","-1","","4000","500","stim","single-stim-button","33","126575","0.0-32.0","dietary_decision","true","0","","-1","4000","health_rating","uTwix","NaN","30","","","","",""
"","1805","","1805","500","stim","single-stim-button","34","128896","0.0-33.0","dietary_decision","true","0","","Healthy","1805","health_rating","whitegrapes","1","31","","","","",""
"","3467","","3467","500","stim","single-stim-button","35","132864","0.0-34.0","dietary_decision","true","0","","Healthy","3467","health_rating","ffraspsorbet","1","32","","","","",""
"","2434","","2434","500","stim","single-stim-button","36","135808","0.0-35.0","dietary_decision","true","0","","Unhealthy","2434","health_rating","slimfastC","-1","33","","","","",""
"","2132","","2132","500","stim","single-stim-button","37","138456","0.0-36.0","dietary_decision","true","0","","Unhealthy","2132","health_rating","raisins","-1","34","","","","",""
"","1617","","1617","500","stim","single-stim-button","38","140576","0.0-37.0","dietary_decision","true","0","","Unhealthy","1617","health_rating","butterfinger","-1","35","","","","",""
